reference id,Pubchem_id,iupac_name,molecular_formula,molecular_weight,kegg_id,,,,
275182,275182,"(1S,14R)-20,21,25-trimethoxy-15,30-dimethyl-7,23-dioxa-15,30-diazaheptacyclo[22.6.2.23,6.18,12.114,18.027,31.022,33]hexatriaconta-3(36),4,6(35),8,10,12(34),18,20,22(33),24,26,31-dodecaen-9-ol",C37H40N2O6,608.7,C09357 ,,,,
442333,442333,"(1R,14S)-20,21,25-trimethoxy-15,30-dimethyl-8,23-dioxa-15,30-diazaheptacyclo[22.6.2.29,12.13,7.114,18.027,31.022,33]hexatriaconta-3(36),4,6,9(35),10,12(34),18,20,22(33),24,26,31-dodecaen-6-ol",C37H40N2O6,608.7,C09598 ,,,,
32465,32465,"[1-(5,8-dihydroxy-1,4-dioxonaphthalen-2-yl)-4-methylpent-3-enyl] 3-methylbut-2-enoate ",C21H22O6,370.4,Not available,,,,
6439929,6439929,"(8R,9S,10R,13S,14S,17E)-17-ethylidene-10,13-dimethyl-1,2,6,7,8,9,11,12,14,15-decahydrocyclopenta[a]phenanthrene-3,16-dione",C21H28O2,312.4,Not available,,,,
119034,119034,"(1S,2R,4aS,6aR,6aS,6bR,8aR,9R,10R,11R,12aR,14bS)-10,11-dihydroxy-9-(hydroxymethyl)-1,2,6a,6b,9,12a-hexamethyl-2,3,4,5,6,6a,7,8,8a,10,11,12,13,14b-tetradecahydro-1H-picene-4a-carboxylic acid",C30H48O5,488.7,C08617 ,,,,
99474,99474,"(1S,2S,4S,5'R,6R,7S,8R,9S,12S,13R,16S)-5',7,9,13-tetramethylspiro[5-oxapentacyclo[10.8.0.02,9.04,8.013,18]icos-18-ene-6,2'-oxane]-16-ol",C27H42O3,414.6,C08898 ,,,,
9548705,9548705,"(1E,5E,8R)-1,5-dimethyl-8-prop-1-en-2-ylcyclodeca-1,5-diene",C15H24,204.35,C16141 ,,,,
72521,72521,"5,8-dihydroxy-2-[(1S)-1-hydroxy-4-methylpent-3-enyl]naphthalene-1,4-dione",C16H16O5,288.29,C10292 ,,,,
5317425,5317425,"(5Z,9E)-3,6,10-trimethyl-8,11-dihydro-7H-cyclodeca[b]furan-4-one",C15H18O2,230.3,Not available,,,,
14987,14987,"[(6aR,9R)-7-methyl-6,6a,8,9-tetrahydro-4H-indolo[4,3-fg]quinolin-9-yl]methanol",C16H18N2O,254.33,Not available,,,,
12314613,12314613,"(4aS,6aR,6aS,6bR,8R,8aR,9R,10R,11R,12aR,14bS)-8,10,11-trihydroxy-9-(hydroxymethyl)-2,2,6a,6b,9,12a-hexamethyl-1,3,4,5,6,6a,7,8,8a,10,11,12,13,14b-tetradecahydropicene-4a-carboxylic acid",C30H48O6,504.7,Not available,,,,
124017,455248,"(16R,17R,18S)-18-hydroxy-10,10,16,17-tetramethyl-6-phenyl-3,9,15-trioxatetracyclo[12.4.0.02,7.08,13]octadeca-1(14),2(7),5,8(13),11-pentaen-4-one",C25H24O5,404.5,Not available,,,,
442615,442615,"2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-6,8-bis[(2S,3R,4R,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]chromen-4-one",C27H30O16,610.5,C10102 ,,,,
474540,,,,,,,,,
124017,,,,,,,,,
479503,479503,"5,8-dihydroxy-2-[(1R)-1-hydroxy-4-methylpent-3-enyl]naphthalene-1,4-dione",C16H16O5,288.29,C17412 ,,,,
7461,7461,"1-methyl-4-propan-2-ylcyclohexa-1,4-diene ",C10H16,136.23,C09900 ,,,,
10337211,10337211,"(2S)-2-(4-hydroxyphenyl)-7-methoxy-6-(3-methylbut-2-enyl)-2,3-dihydrochromen-4-one",C21H22O4,338.4,Not available,,,,
442985,442985,"(1S,2S,4S,5'R,6R,7S,8R,9S,12S,13R,16S)-5',7,9,13-tetramethylspiro[5-oxapentacyclo[10.8.0.02,9.04,8.013,18]icos-18-ene-6,2'-piperidine]-16-ol",C27H43NO2,413.6,C10822 ,,,,
440735,440735,"(2S)-2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-2,3-dihydrochromen-4-one",C15H12O6,288.25,C05631 ,,,,
65576,65576,"(1R,2S,4S,5'S,6S,7S,8R,9S,12S,13S,16S,18S)-5',7,9,13-tetramethylspiro[5-oxapentacyclo[10.8.0.02,9.04,8.013,18]icosane-6,2'-piperidine]-16-ol",C27H45NO2,415.7,C10826 ,,,,
64982,64982,"(2S,3S,4S,5R,6S)-6-(5,6-dihydroxy-4-oxo-2-phenylchromen-7-yl)oxy-3,4,5-trihydroxyoxane-2-carboxylic acid",C21H18O11,446.4,C10025 ,,,,
